disasterNumber,declarationDate,incidentType,title,state,lockedInCeilingAmount,mitigationDollarsAvailable,obligatedTotalAmount
996,1993-07-09T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Iowa,31829750.0,138893.0,32504884.0
4206,2015-01-27T00:00:00.000Z,Flood,"SEVERE STORMS, FLOODING, AND MUDSLIDES",California,139888.0,3693.75,143035.25
1952,2011-01-26T00:00:00.000Z,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",California,11457103.0,1894918.49,10122435.51
4420,2019-03-21T00:00:00.000Z,Flood,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, AND FLOODING",Nebraska,45862262.0,14632578.85,40402135.15
911,1991-07-12T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Iowa,178754.0,0.0,192811.0
4402,2018-10-18T00:00:00.000Z,Flood,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, FLOODING, AND LANDSLIDES",Wisconsin,10334983.0,943737.33,11458242.67
1884,2010-03-08T00:00:00.000Z,Severe Storm,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",California,7311533.0,94981.0,7574086.0
1304,1999-10-15T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, HIGH WINDS",Arizona,463160.0,585270.0,10446.0
4669,2022-09-15T00:00:00.000Z,Severe Storm,"HIGH SURF, HIGH WINDS, AND FLOODING",American Samoa,353217.0,406200.0,0.0
4203,2014-11-05T00:00:00.000Z,Flood,SEVERE STORMS AND FLOODING,Arizona,846871.0,845781.88,42501.12
869,1990-06-04T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES & FLOODING",Indiana,384615.0,0.0,410020.0
1163,1997-03-04T00:00:00.000Z,Severe Storm,"SEVERE STORM, FLOODING, AND TORNADOES",Kentucky,16207111.0,2056031.0,14591601.0
4541,2020-04-24T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",Tennessee,9118789.0,7430403.4,3208183.6
4678,2022-11-28T00:00:00.000Z,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",West Virginia,399998.0,479995.0,0.0
1094,1996-01-23T00:00:00.000Z,Flood,SEVERE STORMS AND FLOODING,Maryland,841685.0,0.0,887416.0
4679,2022-11-28T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",West Virginia,1823147.0,2187776.0,0.0
4312,2017-05-02T00:00:00.000Z,Severe Storm,FLOODING,California,33742.0,33742.0,1650.0
4440,2019-06-07T00:00:00.000Z,Flood,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",South Dakota,10387963.0,3683750.56,8781804.44
1181,1997-07-11T00:00:00.000Z,Severe Storm,"SEVERE STORMS, TORNADOES,AND FLOODING",Michigan,5516989.0,1647954.0,4031169.0
1046,1995-03-12T00:00:00.000Z,Severe Storm,"SEVERE WINTER STORMS, FLOODING LANDSLIDES, MUD FLOW",California,19516997.0,368.0,19981617.0
4180,2014-07-08T00:00:00.000Z,Severe Storm,SEVERE STORMS AND FLOODING,New York,3698486.0,3670031.04,209310.96
1050,1995-05-16T00:00:00.000Z,Severe Storm,"SEVERE STORMS, FLOODING, AND GROUND SATURATION",North Dakota,1844297.0,0.0,1929451.0
4145,2013-09-14T00:00:00.000Z,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",Colorado,64250197.0,10270730.71,57121301.29
1001,1993-07-26T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,North Dakota,4200000.0,0.0,4361615.0
908,1991-05-28T00:00:00.000Z,Flood,SEVERE STORMS & FLOODING,Nebraska,367596.0,0.0,394287.0
